method,dr,feature,target,pearson_r,n
fedavg,0.7,early_cos_mean,final_acc,0.5116841834895082,8
fedavg,0.7,early_align_mean,final_acc,0.48848488410081164,8
fedavg,0.7,early_cos_min,final_acc,0.3678738241179282,8
fedavg,0.7,early_neg_cos_frac,final_acc,-0.35096454422010626,8
fedavg,0.7,early_cos_mean,final_f1,0.3701594917477181,8
fedavg,0.7,early_align_mean,final_f1,0.3663754550661107,8
fedavg,0.7,early_cos_min,final_f1,0.14640299783059318,8
fedavg,0.7,early_neg_cos_frac,final_f1,-0.1967170523825854,8
fedgeo,0.7,early_cos_mean,final_acc,0.41751738967537577,8
fedgeo,0.7,early_align_mean,final_acc,0.39370771402629473,8
fedgeo,0.7,early_cos_min,final_acc,0.3099903463554806,8
fedgeo,0.7,early_neg_cos_frac,final_acc,-0.28221975082565676,8
fedgeo,0.7,early_cos_mean,final_f1,0.30292634588512174,8
fedgeo,0.7,early_align_mean,final_f1,0.29927631435724206,8
fedgeo,0.7,early_cos_min,final_f1,0.10959431294812068,8
fedgeo,0.7,early_neg_cos_frac,final_f1,-0.1466480474941027,8
fedavg,0.9,early_cos_mean,final_acc,0.6422934695076226,8
fedavg,0.9,early_align_mean,final_acc,0.560805093614668,8
fedavg,0.9,early_cos_min,final_acc,0.30100675282027295,8
fedavg,0.9,early_neg_cos_frac,final_acc,-0.6863760783039323,8
fedavg,0.9,early_cos_mean,final_f1,0.672950085368928,8
fedavg,0.9,early_align_mean,final_f1,0.5938809910512763,8
fedavg,0.9,early_cos_min,final_f1,0.32461101622886457,8
fedavg,0.9,early_neg_cos_frac,final_f1,-0.704201112524034,8
fedgeo,0.9,early_cos_mean,final_acc,0.6264189014346262,8
fedgeo,0.9,early_align_mean,final_acc,0.551714986576146,8
fedgeo,0.9,early_cos_min,final_acc,0.3100895865526858,8
fedgeo,0.9,early_neg_cos_frac,final_acc,-0.5486791583757263,8
fedgeo,0.9,early_cos_mean,final_f1,0.6542243046440049,8
fedgeo,0.9,early_align_mean,final_f1,0.5793462441964992,8
fedgeo,0.9,early_cos_min,final_f1,0.33256597566729224,8
fedgeo,0.9,early_neg_cos_frac,final_f1,-0.5613032725414568,8
