run_name,method,dr,seed,early_cos_mean,early_neg_cos_frac,early_align_mean,final_acc,final_f1,is_bad_run
mrpc_final_fedavg_c50_dr7_seed0,fedavg,0.7,0,0.010146030923351645,0.0,0.22128515938917795,0.5122549019607843,0.5361305361305362,1
mrpc_final_fedavg_c50_dr7_seed1,fedavg,0.7,1,0.01023932610405609,0.0,0.22126465539137521,0.3602941176470588,0.19692307692307692,1
mrpc_final_fedavg_c50_dr7_seed2,fedavg,0.7,2,0.008741496635290483,0.0,0.2184542715549469,0.6862745098039216,0.7873754152823921,0
mrpc_final_fedgeo_v5b_c50_dr7_seed0,fedgeo,0.7,0,0.010126572024698058,0.0,0.2212455372015635,0.5122549019607843,0.5361305361305362,1
mrpc_final_fedgeo_v5b_c50_dr7_seed1,fedgeo,0.7,1,0.010269209761948636,0.0,0.2213216871023178,0.3602941176470588,0.19692307692307692,1
mrpc_final_fedgeo_v5b_c50_dr7_seed2,fedgeo,0.7,2,0.008694014861248434,0.0,0.2183676858743032,0.6862745098039216,0.7873754152823921,0
mrpc_final_fedavg_c50_dr9_seed0,fedavg,0.9,0,0.06270027346909046,0.0,0.3135538200537364,0.42401960784313725,0.376657824933687,1
mrpc_final_fedavg_c50_dr9_seed1,fedavg,0.9,1,0.06486662477254868,0.0,0.31570376952489215,0.3161764705882353,0.0,1
mrpc_final_fedavg_c50_dr9_seed2,fedavg,0.9,2,0.05582428661485513,0.0,0.3035862147808075,0.6936274509803921,0.8169838945827232,0
mrpc_final_fedgeo_v5b_c50_dr9_seed0,fedgeo,0.9,0,0.062234229718645416,0.0,0.3128601809342702,0.4264705882352941,0.37433155080213903,1
mrpc_final_fedgeo_v5b_c50_dr9_seed1,fedgeo,0.9,1,0.06501104185978572,0.0,0.3159075180689494,0.3161764705882353,0.0,1
mrpc_final_fedgeo_v5b_c50_dr9_seed2,fedgeo,0.9,2,0.055220880235234894,0.0,0.3027268846829732,0.6936274509803921,0.8169838945827232,0
