run_name,metrics_path,method,dr,seed,early_cos_mean,early_cos_min,early_neg_cos_frac,early_align_mean,final_acc,final_loss,final_f1,is_bad_run
mrpc_control_fedavg_dr70_seed0,/content/drive/MyDrive/fedgeox/results/raw/mrpc_control_fedavg_dr70_seed0/2026-04-13_14-59-23/metrics.jsonl,fedavg,0.7,0,0.007733490007619063,-0.018491631373763084,0.6666666666666666,0.5016849537690481,0.7303921568627451,0.5320612601205414,0.8318042813455657,0
mrpc_control_fedavg_dr70_seed1,/content/drive/MyDrive/fedgeox/results/raw/mrpc_control_fedavg_dr70_seed1/2026-04-13_15-00-42/metrics.jsonl,fedavg,0.7,1,-0.004584901034832001,-0.051377955824136734,0.6666666666666666,0.49115655819574994,0.7058823529411765,0.6012409443364424,0.8198198198198198,0
mrpc_control_fedavg_dr70_seed2,/content/drive/MyDrive/fedgeox/results/raw/mrpc_control_fedavg_dr70_seed2/2026-04-13_15-02-09/metrics.jsonl,fedavg,0.7,2,0.0064896997064352036,-0.02411217987537384,0.3333333333333333,0.5004598299662272,0.678921568627451,0.617811891378141,0.7456310679611651,0
mrpc_control_fedavg_dr70_seed3,/content/drive/MyDrive/fedgeox/results/raw/mrpc_control_fedavg_dr70_seed3/2026-04-13_15-03-38/metrics.jsonl,fedavg,0.7,3,0.006638675307234128,-0.030645405873656273,0.3333333333333333,0.5004763007164001,0.7034313725490197,0.5840176314699883,0.8207407407407408,0
mrpc_control_fedavg_dr70_seed4,/content/drive/MyDrive/fedgeox/results/raw/mrpc_control_fedavg_dr70_seed4/2026-04-13_15-05-06/metrics.jsonl,fedavg,0.7,4,0.008951212279498577,-0.01045109424740076,0.3333333333333333,0.4986889362335205,0.7450980392156863,0.5232952710460214,0.818815331010453,0
mrpc_control_fedavg_dr70_seed5,/content/drive/MyDrive/fedgeox/results/raw/mrpc_control_fedavg_dr70_seed5/2026-04-13_15-06-36/metrics.jsonl,fedavg,0.7,5,0.045321748281518616,0.008017390966415405,0.0,0.5295113523801168,0.7132352941176471,0.5773195893156762,0.7813084112149533,0
mrpc_control_fedavg_dr70_seed6,/content/drive/MyDrive/fedgeox/results/raw/mrpc_control_fedavg_dr70_seed6/2026-04-13_15-08-04/metrics.jsonl,fedavg,0.7,6,-0.021214393277963,-0.04357369244098663,0.6666666666666666,0.4767284591992696,0.5955882352941176,0.7040439388331245,0.6325167037861915,1
mrpc_control_fedavg_dr70_seed7,/content/drive/MyDrive/fedgeox/results/raw/mrpc_control_fedavg_dr70_seed7/2026-04-13_15-09-33/metrics.jsonl,fedavg,0.7,7,-0.005642952824321886,-0.0481027327477932,0.3333333333333333,0.4874432881673177,0.7254901960784313,0.5356404088875827,0.825,0
mrpc_control_fedgeo_v5b_dr70_seed0,/content/drive/MyDrive/fedgeox/results/raw/mrpc_control_fedgeo_v5b_dr70_seed0/2026-04-13_15-11-01/metrics.jsonl,fedgeo,0.7,0,0.007922252950568994,-0.018491631373763084,0.6666666666666666,0.5018284718195597,0.7303921568627451,0.5334445167990292,0.8318042813455657,0
mrpc_control_fedgeo_v5b_dr70_seed1,/content/drive/MyDrive/fedgeox/results/raw/mrpc_control_fedgeo_v5b_dr70_seed1/2026-04-13_15-12-30/metrics.jsonl,fedgeo,0.7,1,-0.005412068217992783,-0.051377955824136734,0.6666666666666666,0.49059685071309406,0.7034313725490197,0.6032332515015322,0.8185907046476761,0
mrpc_control_fedgeo_v5b_dr70_seed2,/content/drive/MyDrive/fedgeox/results/raw/mrpc_control_fedgeo_v5b_dr70_seed2/2026-04-13_15-13-58/metrics.jsonl,fedgeo,0.7,2,0.00639956754942735,-0.02285519242286682,0.3333333333333333,0.5004226366678873,0.678921568627451,0.6147158852979249,0.7456310679611651,0
mrpc_control_fedgeo_v5b_dr70_seed3,/content/drive/MyDrive/fedgeox/results/raw/mrpc_control_fedgeo_v5b_dr70_seed3/2026-04-13_15-15-27/metrics.jsonl,fedgeo,0.7,3,0.007127685472369194,-0.02924937941133976,0.3333333333333333,0.5008594393730164,0.7034313725490197,0.585480732368488,0.8207407407407408,0
mrpc_control_fedgeo_v5b_dr70_seed4,/content/drive/MyDrive/fedgeox/results/raw/mrpc_control_fedgeo_v5b_dr70_seed4/2026-04-13_15-16-54/metrics.jsonl,fedgeo,0.7,4,0.008861451409757137,-0.011116351000964642,0.3333333333333333,0.49861404299736023,0.75,0.5225877206699521,0.8229166666666666,0
mrpc_control_fedgeo_v5b_dr70_seed5,/content/drive/MyDrive/fedgeox/results/raw/mrpc_control_fedgeo_v5b_dr70_seed5/2026-04-13_15-18-23/metrics.jsonl,fedgeo,0.7,5,0.04525360775490602,0.008326098322868347,0.0,0.5295166174570719,0.6985294117647058,0.5834256001547271,0.7666034155597723,0
mrpc_control_fedgeo_v5b_dr70_seed6,/content/drive/MyDrive/fedgeox/results/raw/mrpc_control_fedgeo_v5b_dr70_seed6/2026-04-13_15-19-51/metrics.jsonl,fedgeo,0.7,6,-0.02121900798132022,-0.04426129534840584,0.6666666666666666,0.476711908976237,0.5955882352941176,0.7086924857953015,0.6325167037861915,1
mrpc_control_fedgeo_v5b_dr70_seed7,/content/drive/MyDrive/fedgeox/results/raw/mrpc_control_fedgeo_v5b_dr70_seed7/2026-04-13_15-21-20/metrics.jsonl,fedgeo,0.7,7,-0.006021068974708517,-0.0481027327477932,0.3333333333333333,0.4871821105480194,0.7254901960784313,0.5361409596368378,0.825,0
mrpc_control_fedavg_dr90_seed0,/content/drive/MyDrive/fedgeox/results/raw/mrpc_control_fedavg_dr90_seed0/2026-04-11_23-44-56/metrics.jsonl,fedavg,0.9,0,0.052962131798267365,-0.06484664231538773,0.3333333333333333,0.52230371038119,0.6838235294117647,0.7100137283696848,0.8122270742358079,0
mrpc_control_fedavg_dr90_seed1,/content/drive/MyDrive/fedgeox/results/raw/mrpc_control_fedavg_dr90_seed1/2026-04-11_23-46-20/metrics.jsonl,fedavg,0.9,1,0.03707022778689861,-0.01955089531838894,0.3333333333333333,0.49927664796511334,0.6838235294117647,0.6558082956893772,0.8122270742358079,0
mrpc_control_fedavg_dr90_seed2,/content/drive/MyDrive/fedgeox/results/raw/mrpc_control_fedavg_dr90_seed2/2026-04-11_23-47-44/metrics.jsonl,fedavg,0.9,2,0.0692720611890157,-0.001672297716140747,0.3333333333333333,0.5299626390139262,0.4411764705882353,0.7801241056591857,0.36666666666666664,1
mrpc_control_fedavg_dr90_seed3,/content/drive/MyDrive/fedgeox/results/raw/mrpc_control_fedavg_dr90_seed3/2026-04-11_23-49-09/metrics.jsonl,fedavg,0.9,3,0.07083949943383534,-0.038428690284490585,0.3333333333333333,0.5399330059687296,0.6911764705882353,0.735667430302676,0.8157894736842105,0
mrpc_control_fedavg_dr90_seed4,/content/drive/MyDrive/fedgeox/results/raw/mrpc_control_fedavg_dr90_seed4/2026-04-11_23-50-34/metrics.jsonl,fedavg,0.9,4,0.07930873582760493,-0.002200514078140259,0.3333333333333333,0.54119806488355,0.6936274509803921,0.6128110365540373,0.8164464023494861,0
mrpc_control_fedavg_dr90_seed5,/content/drive/MyDrive/fedgeox/results/raw/mrpc_control_fedavg_dr90_seed5/2026-04-11_23-51-59/metrics.jsonl,fedavg,0.9,5,0.07182224964102109,-0.046814460307359695,0.3333333333333333,0.5351495941480001,0.6348039215686274,0.6447826425234476,0.7072691552062869,1
mrpc_control_fedavg_dr90_seed6,/content/drive/MyDrive/fedgeox/results/raw/mrpc_control_fedavg_dr90_seed6/2026-04-11_23-53-24/metrics.jsonl,fedavg,0.9,6,-0.0025080889463424683,-0.06843212991952896,0.6666666666666666,0.47571508089701336,0.3431372549019608,0.9401083834031049,0.0945945945945946,1
mrpc_control_fedavg_dr90_seed7,/content/drive/MyDrive/fedgeox/results/raw/mrpc_control_fedavg_dr90_seed7/2026-04-11_23-54-48/metrics.jsonl,fedavg,0.9,7,0.0803739856928587,0.022045036777853966,0.0,0.5161506533622742,0.696078431372549,0.6932712203147364,0.8181818181818182,0
mrpc_control_fedgeo_v5b_dr90_seed0,/content/drive/MyDrive/fedgeox/results/raw/mrpc_control_fedgeo_v5b_dr90_seed0/2026-04-12_00-07-36/metrics.jsonl,fedgeo,0.9,0,0.053788178910811744,-0.06196795776486397,0.3333333333333333,0.5226731399695078,0.6838235294117647,0.7219039216345432,0.8122270742358079,0
mrpc_control_fedgeo_v5b_dr90_seed1,/content/drive/MyDrive/fedgeox/results/raw/mrpc_control_fedgeo_v5b_dr90_seed1/2026-04-12_00-09-02/metrics.jsonl,fedgeo,0.9,1,0.03513322025537491,-0.01955089531838894,0.3333333333333333,0.497890442609787,0.6838235294117647,0.6578306856693006,0.8122270742358079,0
mrpc_control_fedgeo_v5b_dr90_seed2,/content/drive/MyDrive/fedgeox/results/raw/mrpc_control_fedgeo_v5b_dr90_seed2/2026-04-12_00-10-28/metrics.jsonl,fedgeo,0.9,2,0.06994933066016529,-0.00023054082703310996,0.3333333333333333,0.5305944283803304,0.43137254901960786,0.7985767126083374,0.3333333333333333,1
mrpc_control_fedgeo_v5b_dr90_seed3,/content/drive/MyDrive/fedgeox/results/raw/mrpc_control_fedgeo_v5b_dr90_seed3/2026-04-12_00-11-53/metrics.jsonl,fedgeo,0.9,3,0.06912030652165413,-0.043411582708358765,0.3333333333333333,0.5383225778738657,0.6911764705882353,0.738976449358697,0.8157894736842105,0
mrpc_control_fedgeo_v5b_dr90_seed4,/content/drive/MyDrive/fedgeox/results/raw/mrpc_control_fedgeo_v5b_dr90_seed4/2026-04-12_00-13-18/metrics.jsonl,fedgeo,0.9,4,0.07904086587950587,-0.004089226480573416,0.3333333333333333,0.5407936175664266,0.696078431372549,0.6177251178259943,0.8181818181818182,0
mrpc_control_fedgeo_v5b_dr90_seed5,/content/drive/MyDrive/fedgeox/results/raw/mrpc_control_fedgeo_v5b_dr90_seed5/2026-04-12_00-14-43/metrics.jsonl,fedgeo,0.9,5,0.06467008808006842,-0.05085716024041176,0.6666666666666666,0.5295749803384145,0.6127450980392157,0.6692246876510919,0.6680672268907563,1
mrpc_control_fedgeo_v5b_dr90_seed6,/content/drive/MyDrive/fedgeox/results/raw/mrpc_control_fedgeo_v5b_dr90_seed6/2026-04-12_00-16-09/metrics.jsonl,fedgeo,0.9,6,-0.005816560238599777,-0.07294327765703201,0.6666666666666666,0.4724964201450348,0.33578431372549017,0.9770949728348676,0.07508532423208192,1
mrpc_control_fedgeo_v5b_dr90_seed7,/content/drive/MyDrive/fedgeox/results/raw/mrpc_control_fedgeo_v5b_dr90_seed7/2026-04-12_00-17-34/metrics.jsonl,fedgeo,0.9,7,0.07934669467310111,0.020819252356886864,0.0,0.5151612162590027,0.6911764705882353,0.6975674662812084,0.8157894736842105,0
